Coleoptera,Dytiscidae,Hydroglyphus,farquharensis,Hydroglyphus farquharensis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,358,
Coleoptera,Dytiscidae,Hydroglyphus,geminodes,Hydroglyphus geminodes,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,359,
Coleoptera,Dytiscidae,Hydroglyphus,infirmus,Hydroglyphus infirmus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,360,
Coleoptera,Dytiscidae,Hydroglyphus,lineolatus,Hydroglyphus lineolatus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,361,
Coleoptera,Dytiscidae,Hydroglyphus,paludivagus,Hydroglyphus paludivagus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,362,
Coleoptera,Dytiscidae,Hydroglyphus,transvaalensis,Hydroglyphus transvaalensis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,363,
Coleoptera,Dytiscidae,Hydroglyphus,zanzibarensis,Hydroglyphus zanzibarensis,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,364,
Coleoptera,Dytiscidae,Hydroglyphus,,Hydroglyphus,Genus,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Tachet et al. 2010,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2 (Feeding mode: feeds on animals via active predation),Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Vegetation,Tachet et al. 2010,Very slow flowing/still (< 0.1),Tachet et al. 2010,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Scored 5,Aquatic active,Tachet et al. 2010,,,,,,,,,,,,,Multivoltine,Tachet et al. 2010,Clutches (cemented or attached),Tachet et al. 2010,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,71 to 3 years (Hamrsky 2013).,,,,,Yes,,None,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,,,Eurytherm (no specific preference; wide temperature range),,,,,,,,Clear and transparent,Tachet et al. 2010,Eutrophic,Tachet et al. 2010,,,365,
Coleoptera,Dytiscidae,Hydropeplus,montanus,Hydropeplus montanus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Regional endemic,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,366,
Coleoptera,Dytiscidae,Hydropeplus,trimaculatus,Hydropeplus trimaculatus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,367,
Coleoptera,Dytiscidae,Hydropeplus,,Hydropeplus,Genus,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an  air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2 (Feeding mode: feeds on animals via active predation),Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Scored 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,192 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,368,
Coleoptera,Dytiscidae,Hydrovatus,abraeoides,Hydrovatus abraeoides,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,369,
Coleoptera,Dytiscidae,Hydrovatus,acuminatus,Hydrovatus acuminatus,Species,,,,Ovate,Larvae are streamlined and spindle-shaped. Adults are oval shaped (Bistrom 2007).,,,Swimmer,Adults and larvae both active swimmers (Hamrsky 2013). ,Free living,,Plastron,"Adults and most larvae must at intervals visit the water surface to replenish an air bubble, which adults keep in a subelytral chamber (Bistrom 2007), larvae stored air in inflated tracheal reservoirs for the duration of the submerged period.",Predator 2,Adults and larvae are voracious predators feeding on zooplankton to small fish (Bistrom 2007).,Free living,Bistrom 2007,,,,,Pools,"Or riffles (Bistrom 2007). Commonly found in temporary pools, wetlands, marshes, ponds and slow flowing sections of flowing water (Hamrsky 2013). ",Moderately tolerant (4–6),Sensitivity weighting = 5,Aquatic active,,,,,,,,,,,,,,,,,,,,All (egg to adult),Bistrom 2007,,Larvae moult three times to become a fully grown adult (Hamrsky 2013). ,> 365 days,2 to 3 years (Hamrsky 2013).,,,,,Yes,,,,,"Females oviposit in water under stones, on veg or within plant tissue (Griffiths et al. 2015).",Completely slerotised ,Hamrsky 2013,,,,,Widespread,,Eurytherm (no specific preference; wide temperature range),,,,,,,,,,,,,,370,
